team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
England,lost,6 wickets,147,147,lost,Australia,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
West,Indies,won 9,wickets,51,won,v India,Birmingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,lost,9 wickets,51,lost,1st,West Indies,Birmingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
New,Zealand,won 9,wickets,74,won,v Sri,Nottingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Sri,Lanka,lost 9,wickets,74,lost,v New,Nottingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,won,6 wickets,77,77,won,Australia,Lord's,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,lost,6 wickets,77,77,lost,England,Lord's,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,won,8 wickets,119,119,lost,Canada,Leeds,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Canada,lost,8 wickets,119,119,won,Pakistan,Leeds,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Sri,Lanka,aban -,-,-,v,Indies The,Oval,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
West,Indies,aban -,-,-,v,Lanka The,Oval,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
