team,result,margin,br,toss,bat,opposition,ground,date
England,0.0,2 run,54.0,1.0,2.0,New Zealand,Melbourne,1983
England,1.0,54 run,54.0,0.0,1.0,New Zealand,Brisbane,1983
New Zealand,0.0, 54 run,54.0,1.0,2.0,England,Brisbane,1983
Australia,1.0,7 wicke,54.0,1.0,2.0,England,Brisbane,1983
England,0.0,7 wicke,54.0,1.0,2.0,Australia,Brisbane,1983
New Zealand,1.0, 47 run,44.0,1.0,2.0,Australia,Sydney,1983
Australia,0.0,47 run,44.0,1.0,2.0,New Zealand,Sydney,1983
England,1.0,8 wicke,44.0,0.0,2.0,New Zealand,Sydney,1983
New Zealand,0.0, 8 wicke,30.0,1.0,2.0,England,Sydney,1983
Pakistan,1.0,8 wicke,30.0,1.0,2.0,India,Karachi,1983
India,0.0,8 wicke,30.0,1.0,2.0,Pakistan,Karachi,1983
New Zealand,1.0, 58 run,14.0,1.0,2.0,Australia,Melbourne,1983
Australia,0.0,58 run,14.0,1.0,2.0,New Zealand,Melbourne,1983
Australia,1.0,5 wicke,14.0,1.0,1.0,England,Melbourne,1983
England,0.0,5 wicke,14.0,1.0,1.0,Australia,Melbourne,1983
England,1.0,98 run,7.0,1.0,1.0,Australia,Sydney,1983
Australia,0.0,98 run,7.0,0.0,2.0,England,Sydney,1983
New Zealand,1.0, 4 wicke,7.0,1.0,1.0,England,Adelaide,1983
England,0.0,4 wicke,7.0,1.0,1.0,New Zealand,Adelaide,1983
England,1.0,14 run,15.0,1.0,1.0,Australia,Adelaide,1983
Australia,0.0,14 run,15.0,0.0,2.0,England,Adelaide,1983
New Zealand,1.0, 47 run,15.0,0.0,2.0,Australia,Adelaide,1983
Australia,0.0,47 run,15.0,0.0,2.0,New Zealand,Adelaide,1983
New Zealand,1.0, 7 wicke,15.0,0.0,1.0,England,Perth,1983
England,0.0,7 wicke,15.0,0.0,1.0,New Zealand,Perth,1983
Australia,1.0,27 run,29.0,0.0,1.0,New Zealand,Perth,1983
New Zealand,0.0, 27 run,29.0,0.0,2.0,Australia,Perth,1983
Australia,1.0,6 wicke,29.0,0.0,2.0,New Zealand,Sydney,1983
New Zealand,0.0, 6 wicke,21.0,1.0,1.0,Australia,Sydney,1983
Australia,1.0,149 run,21.0,1.0,1.0,New Zealand,Melbourne,1983
New Zealand,0.0, 149 run,21.0,1.0,1.0,Australia,Melbourne,1983
New Zealand,1.0, 6 wicke,21.0,1.0,1.0,England,Auckland,1983
England,0.0,6 wicke,21.0,1.0,1.0,New Zealand,Auckland,1983
New Zealand,1.0, 103 run,58.0,1.0,2.0,England,Wellington,1983
England,0.0,103 run,58.0,1.0,2.0,New Zealand,Wellington,1983
New Zealand,1.0, 84 run,58.0,0.0,2.0,England,Christchurch,1983
England,0.0,84 run,58.0,0.0,2.0,New Zealand,Christchurch,1983
New Zealand,1.0, 65 run,58.0,0.0,1.0,Sri Lanka,Dunedin,1983
Sri Lanka,0.0, 65 run,58.0,1.0,2.0,New Zealand,Dunedin,1983
West Indies,1.0, 52 run,58.0,0.0,1.0,India,Spain,1983
